category,platform,folder,author,title,url,description
"AI Agent / Codex / Skill / API","Bilibili","默认收藏夹","Juang_42号搭车客","别再乱装Skill了！这 4 组Skill，才是Agent的顶级生产力。","https://www.bilibili.com/video/BV1RcRmBbE3x","如果Skill没有配置好，那么Agent使用起来的效果就会事倍功半。 我尝试了十几个Agent和几十个Skill，这些Skill是我每天都在用的，而且不依赖特定的Agent。 无论你是在用 Claude Code 还是 Codex，这套通用的 Skill 组合都能让你的 AI 助手瞬间进化。"
"AI Agent / Codex / Skill / API","Bilibili","默认收藏夹","松小鼠呀ya","Codex 10个必装插件！实战演示：自动生成酷炫动画、视频、网页游戏和手机App，快速上手AI","https://www.bilibili.com/video/BV1MXLt6vE6s","实测 Codex 10 个必装插件，从酷炫动画、视频生成，到网页游戏、手机 App、PPT 报告、表格分析和浏览器自动化，一次看懂 AI Agent 到底能替你完成多少工作。无论是学习、办公、创作、开发，还是整理资料和处理重复任务，都能直接用上。 本频道持续分享创富案例 & AI 前沿应用 关于 7 步实现财富自由，会员内容以专题形式呈现，系统梳理从财富认知、全球趋势，到投资理念与实操策略的完整方法论，帮助你构建稳健而清晰的投资思维体系。 欢迎订阅。 热门推荐： 小白速通！10分钟掌控AI编程之王【C"
"AI Agent / Codex / Skill / API","Bilibili","默认收藏夹","Yin_Code","Codex接入第三方API，插件没解锁？5分钟保姆级解决","https://www.bilibili.com/video/BV1q5G961Ech","CC Switch：farion1231/cc-switch: A cross-platform desktop All-in-One assistant for Claude Code, Codex, OpenCode, OpenClaw, Gemini CLI & Hermes Agent. Only official website: ccswitch.io CCX：BenedictKing/ccx: Claude / Codex / Gemini API Proxy - CCX Codex Plu"
"AI Agent / Codex / Skill / API","Bilibili","默认收藏夹","HexUp","Codex从零上手教程，为什么我更推荐大多数人用Codex而不是Claude Code","https://www.bilibili.com/video/BV1DfL16WEwq","Codex是OpenAI官方的Agent桌面应用，不光能写代码，还能做PPT、搜网页、调用GPT Image 2生成图片，甚至用手机远程操控电脑工作。这期视频从零开始拆解Codex的核心概念、插件系统和自动化任务，配上完整的实操演示。比起Claude Code经常封号，Codex不封号、额度充足、App设计优雅，20美元起步就能满足日常需要。"
"AI Agent / Codex / Skill / API","Bilibili","默认收藏夹","Porter科技迷","【全网首发】白嫖Google AI Pro 12个月| 无需Pixel设备 | 解决谷歌邮箱注册、账号设备认证、绑卡等问题 | 从注册到订阅全过程演示","https://www.bilibili.com/video/BV1qpwEzTEa9","视频制作不易，希望大家三连支持，如果喜欢我的内容，欢迎订阅我的频道，请在评论区留下评论，我会挨个私发文档"
"AI Agent / Codex / Skill / API","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=favorite_collection","","4145上面的视觉是Claude Fable5呈现出来的 淘汰你的不是AI 而是会用AI的人 #个人交易系统 #实时交易信息 #新手交易员 #大模型上面的视觉是Claude Fable5呈现出来的 淘汰你的不是AI 而是会用AI的人 #个人交易系统 #实时交易信息 #新手交易员 #大模型","https://www.douyin.com/video/7650190124579618731",""
"AI Agent / Codex / Skill / API","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=favorite_collection","","6.5万只用了Claude Code 30%能力？7个必装Skill 如果你用Claude Code只发挥了30%能力，一定要看这7个必装Skill！附官方英文名：Superpowers、pdf、humanizer-zh等，覆盖开发、文档、前端、代码质量，最后一个能让AI变成懂行队友，直接搜名就能装。#claudecode #skills #AI编程 #AI工具 #编程入门只用了Claude Code 30%能力？7个必装Skill 如果你用Claude Code只发挥了30%能力，一定要看这7个必装Skill！附官方英文名：Superpowers、pdf、humanizer-zh等，覆盖开发、文档、前端、代码质量，最后一个能让AI变成懂行队友，直接搜名就能装。#claudecode #skills #AI编程 #AI工具 #编程入门","https://www.douyin.com/video/7638504373409369337",""
"AI Agent / Codex / Skill / API","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=favorite_collection","","1339几何节点动画和刚体运用脚本都是用Codex做的#Codex #Blender #AI动画几何节点动画和刚体运用脚本都是用Codex做的#Codex #Blender #AI动画","https://www.douyin.com/video/7650012801838625510",""
"AI Agent / Codex / Skill / API","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=favorite_collection","","11.0万在codex，Claude code等的帮助下，感觉我变成了一个designer，指挥多个agent给我干活，而不是一个worker在codex，Claude code等的帮助下，感觉我变成了一个designer，指挥多个agent给我干活，而不是一个worker","https://www.douyin.com/video/7630703901906460106",""
"AI Agent / Codex / Skill / API","Douyin","https://www.douyin.com/user/self?from_tab_name=main&showTab=favorite_collection","","23第一次让 Codex 动文件，千万别直接说""帮我整理一下"" 很多人第一次用 Codex 处理文件，最容易犯的错，就是上来一句： “帮我整理一下。” 听起来没问题，但对 AI Agent 来说，这句话太危险了。 你没说目标是什么，材料在哪里，规则怎么定，哪些文件不能碰，最后怎么验收。 它再聪明，也只能按自己的理解去猜。 所以普通人第一份 Codex 任务单，不是追求炫技，而是先追求安全。 记住五件事： 目标：你到底想得到什么 材料：只处理哪个测试文件夹 规则：文件怎么命名，表格怎么检查 禁区：不删除、不覆盖、不碰正式资料 验收：最后必须输出处理报告 先预览，再确认，再执行，最后出报告。 这才是普通人真正能用起来的 AI Agent 工作流。 #AI压榨员·SuDa #AI工具 #Codex #AI办公 #AI生产力第一次让 Codex 动文件，千万别直接说""帮我整理一下"" 很多人第一次用 Codex 处理文件，最容易犯的错，就是上来一句： “帮我整理一下。” 听起来没问题，但对 AI Agent 来说，这句话太危险了。 你没说目标是什么，材料在哪里，规则怎么定，哪些文件不能碰，最后怎么验收。 它再聪明，也只能按自己的理解去猜。 所以普通人第一份 Codex 任务单，不是追求炫技，而是先追求安全。 记住五件事： 目标：你到底想得到什么 材料：只处理哪个测试文件夹 规则：文件怎么命名，表格怎么检查 禁区：不删除、不覆盖、不碰正式资料 验收：最后必须输出处理报告 先预览，再确认，再执行，最后出报告。 这才是普通人真正能用起来的 AI Agent 工作流。 #AI压榨员·SuDa #AI工具 #Codex #AI办公 #AI生产力","https://www.douyin.com/video/7649551388367736073",""
